lego_set_id,lego_set_title,rebrickable_lego_set_url,bricket_lego_set_url,brickpicker_lego_set_url
10234-1,sydney-opera-house-sculptures-2013,http://rebrickable.com/sets/10234-1/sydney-opera-house-sculptures-2013,http://brickset.com/sets/10234-1,http://www.brickpicker.com/bpms/set.cfm?set=10234-1
2000430-1,identity-and-landscape-kit-master-building-academy-2013,http://rebrickable.com/sets/2000430-1/identity-and-landscape-kit-master-building-academy-2013,http://brickset.com/sets/2000430-1,http://www.brickpicker.com/bpms/set.cfm?set=2000430-1
42009-1,mobile-crane-mk-ii-construction-2013,http://rebrickable.com/sets/42009-1/mobile-crane-mk-ii-construction-2013,http://brickset.com/sets/42009-1,http://www.brickpicker.com/bpms/set.cfm?set=42009-1
2000431-1,connections-kit-master-building-academy-2013,http://rebrickable.com/sets/2000431-1/connections-kit-master-building-academy-2013,http://brickset.com/sets/2000431-1,http://www.brickpicker.com/bpms/set.cfm?set=2000431-1
10237-1,the-tower-of-orthanc-the-lord-of-the-rings-2013,http://rebrickable.com/sets/10237-1/the-tower-of-orthanc-the-lord-of-the-rings-2013,http://brickset.com/sets/10237-1,http://www.brickpicker.com/bpms/set.cfm?set=10237-1
10232-1,palace-cinema-modular-buildings-2013,http://rebrickable.com/sets/10232-1/palace-cinema-modular-buildings-2013,http://brickset.com/sets/10232-1,http://www.brickpicker.com/bpms/set.cfm?set=10232-1
10236-1,ewok-village-star-wars-episode-456-2013,http://rebrickable.com/sets/10236-1/ewok-village-star-wars-episode-456-2013,http://brickset.com/sets/10236-1,http://www.brickpicker.com/bpms/set.cfm?set=10236-1
9664-1,first-lego-league-challenge-2013-natures-fury-first-lego-league-2013,http://rebrickable.com/sets/9664-1/first-lego-league-challenge-2013-natures-fury-first-lego-league-2013,http://brickset.com/sets/9664-1,http://www.brickpicker.com/bpms/set.cfm?set=9664-1
10664-1,creative-tower-creator-2013,http://rebrickable.com/sets/10664-1/creative-tower-creator-2013,http://brickset.com/sets/10664-1,http://www.brickpicker.com/bpms/set.cfm?set=10664-1
41999-1,4-x-4-crawler-exclusive-edition-quot%3Bboss-crawlerquot%3B-%5Bco-creation-model%5D-technic-2013,http://rebrickable.com/sets/41999-1/4-x-4-crawler-exclusive-edition-quot%3Bboss-crawlerquot%3B-%5Bco-creation-model%5D-technic-2013,http://brickset.com/sets/41999-1,http://www.brickpicker.com/bpms/set.cfm?set=41999-1
10240-1,red-five-x-wing-starfighter-star-wars-episode-456-2013,http://rebrickable.com/sets/10240-1/red-five-x-wing-starfighter-star-wars-episode-456-2013,http://brickset.com/sets/10240-1,http://www.brickpicker.com/bpms/set.cfm?set=10240-1
10233-1,horizon-express-rc-train-2013,http://rebrickable.com/sets/10233-1/horizon-express-rc-train-2013,http://brickset.com/sets/10233-1,http://www.brickpicker.com/bpms/set.cfm?set=10233-1
42008-1,service-truck-technic-2013,http://rebrickable.com/sets/42008-1/service-truck-technic-2013,http://brickset.com/sets/42008-1,http://www.brickpicker.com/bpms/set.cfm?set=42008-1
10235-1,winter-village-market-%5Binitial-release%5D-christmas-2013,http://rebrickable.com/sets/10235-1/winter-village-market-%5Binitial-release%5D-christmas-2013,http://brickset.com/sets/10235-1,http://www.brickpicker.com/bpms/set.cfm?set=10235-1
70010-1,the-lion-chi-temple-legends-of-chima-2013,http://rebrickable.com/sets/70010-1/the-lion-chi-temple-legends-of-chima-2013,http://brickset.com/sets/70010-1,http://www.brickpicker.com/bpms/set.cfm?set=70010-1
21050-1,architecture-studio-architecture-2013,http://rebrickable.com/sets/21050-1/architecture-studio-architecture-2013,http://brickset.com/sets/21050-1,http://www.brickpicker.com/bpms/set.cfm?set=21050-1
21017-1,imperial-hotel-architecture-2013,http://rebrickable.com/sets/21017-1/imperial-hotel-architecture-2013,http://brickset.com/sets/21017-1,http://www.brickpicker.com/bpms/set.cfm?set=21017-1
75021-1,republic-gunship-star-wars-episode-2-2013,http://rebrickable.com/sets/75021-1/republic-gunship-star-wars-episode-2-2013,http://brickset.com/sets/75021-1,http://www.brickpicker.com/bpms/set.cfm?set=75021-1
45100-1,story-starter-core-set-educational-and-dacta-2013,http://rebrickable.com/sets/45100-1/story-starter-core-set-educational-and-dacta-2013,http://brickset.com/sets/45100-1,http://www.brickpicker.com/bpms/set.cfm?set=45100-1
42000-1,grand-prix-racer-race-2013,http://rebrickable.com/sets/42000-1/grand-prix-racer-race-2013,http://brickset.com/sets/42000-1,http://www.brickpicker.com/bpms/set.cfm?set=42000-1
42008-1,crane-truck-with-semi-trailer-technic-2013,http://rebrickable.com/sets/42008-1-b1/crane-truck-with-semi-trailer-technic-2013,http://brickset.com/sets/42008-1,http://www.brickpicker.com/bpms/set.cfm?set=42008-1
42000-1,race-truck-race-2013,http://rebrickable.com/sets/42000-1-b1/race-truck-race-2013,http://brickset.com/sets/42000-1,http://www.brickpicker.com/bpms/set.cfm?set=42000-1
70404-1,kings-castle-castle-2013,http://rebrickable.com/sets/70404-1/kings-castle-castle-2013,http://brickset.com/sets/70404-1,http://www.brickpicker.com/bpms/set.cfm?set=70404-1
70709-1,galactic-titan-galaxy-squad-2013,http://rebrickable.com/sets/70709-1/galactic-titan-galaxy-squad-2013,http://brickset.com/sets/70709-1,http://www.brickpicker.com/bpms/set.cfm?set=70709-1
75025-1,jedi-defender-class-cruiser-star-wars-other-2013,http://rebrickable.com/sets/75025-1/jedi-defender-class-cruiser-star-wars-other-2013,http://brickset.com/sets/75025-1,http://www.brickpicker.com/bpms/set.cfm?set=75025-1
